rule_id,signal_id,entity,window,aggregation,columns_used,feasibility,description
KYC-ID-07,multiple_business_accounts,customer,all,count,"customer_id; business_id",Medium,"Customer linked to multiple businesses without clear economic rationale"
TX-CASH-11,cash_to_wire_pass_through,transaction,3d,ratio,"cash_indicator; channel; amount_cad; transaction_datetime",High,"Cash deposits rapidly exiting via wire transfers"
TX-CASH-12,cash_structuring_pattern,transaction,30d,count,"amount_cad; transaction_datetime; branch_id",High,"Multiple sub-threshold cash deposits across locations (structuring)"
TX-CASH-13,night_cash_activity,transaction,30d,ratio,"cash_indicator; transaction_datetime; amount_cad",High,"High proportion of cash activity occurring between 10 p.m. and 6 a.m."
TX-CASH-14,white_label_atm_usage,transaction,30d,ratio,"merchant_category; channel; amount_cad",Medium,"Frequent use of non-bank or white-label ATMs"
TX-CASH-15,logistics_worker_cash_volume,customer,30d,relative,"occupation_code; amount_cad",Medium,"Cash activity inconsistent with logistics or trucking occupation norms"
TX-CASH-16,armored_car_cash_volume,transaction,30d,sum,"channel; amount_cad",Medium,"Large volumes of cash delivered via armored car services"
TX-WIRE-21,high_risk_jurisdiction_wires,transaction,30d,ratio,"country; amount_cad; channel",Medium,"Wires involving high-risk jurisdictions without clear business purpose"
TX-WIRE-23,unrelated_large_wire_transfers,transaction,30d,sum,"amount_cad; counterparty_id",Medium,"Large wire transfers between unrelated senders and receivers"
TX-EMT-31,emt_pass_through,transaction,3d,ratio,"channel; amount_cad; transaction_datetime",High,"Incoming EMT funds rapidly depleted by outgoing EMTs"
TX-EMT-34,multiple_emt_same_beneficiary,transaction,30d,count,"channel; beneficiary_id",High,"Multiple EMTs from unrelated third parties sent to the same beneficiary"
TX-CARD-41,card_overpayment_cash_out,transaction,30d,ratio,"channel; amount_cad; transaction_type",Medium,"Credit card overpayments followed by cash advances"
TX-CARD-44,rounded_gift_card_purchases,transaction,30d,count,"merchant_category; amount_cad",Medium,"Repeated purchases of gift or prepaid cards in rounded amounts"
GEO-COR-51,drug_corridor_activity,transaction,30d,count,"city; province; transaction_datetime",High,"Transactions occurring along known drug trafficking corridors"
GEO-COR-53,short_term_multi_city_hotels,transaction,14d,count,"merchant_category; city",Medium,"Hotel or accommodation payments across multiple cities in a short period"
IND-AUTO-72,auto_trade_circular_flows,network,90d,cycle,"industry_code; counterparty_id; amount_cad",Medium,"Circular fund flows between auto dealerships and trade entities"
IND-TRADE-81,trade_no_inventory_activity,customer,90d,ratio,"industry_code; amount_cad; inventory_purchases",Medium,"Trade businesses receiving wires without corresponding inventory purchases"
IND-TRADE-82,trade_unrelated_jurisdictions,transaction,30d,ratio,"country; industry_code; amount_cad",Medium,"Trade businesses receiving funds from unrelated jurisdictions"
IND-LEGAL-91,legal_trust_account_flows,transaction,30d,sum,"merchant_category; amount_cad",Medium,"Funds flowing to legal trust accounts without clear relationship"
BEH-LIFE-111,escort_advertising_payments,transaction,30d,count,"merchant_category; amount_cad",Medium,"Payments linked to escort advertising or hosting services"
BEH-LIFE-112,gambling_with_third_party_funds,transaction,30d,ratio,"merchant_category; channel; amount_cad",High,"Gambling activity funded by multiple third-party EMTs"
KYC-ID-02,shared_identifier_network,network,all,count,"address; phone; ip",Medium,"Counts distinct customers sharing identifiers suggesting coordination"
KYC-ID-03,txn_vs_occupation_peer,customer,30d,relative,"occupation_code; amount_cad; income",Medium,"Transaction volume anomalous relative to peers with same occupation"
KYC-ID-06,financial_profile_change,customer,30d,delta,"amount_cad; income; sales",High,"Sudden change in transaction volume or financial profile versus historical baseline"hases inconsistent with declared income"
BEH-LIFE-115,shipping_material_purchases,transaction,30d,count,"merchant_category; amount_cad",Medium,"Excessive purchase of shipping or mailing materials"
TP-USE-121,nominee_behavior_pattern,customer,all,proxy,"shared_identifier_network; txn_flow",Medium,"Behavior indicative of acting on behalf of another party"
TP-USE-122,daigou_fund_movement,transaction,30d,ratio,"merchant_category; amount_cad; country",Medium,"Daigou-style luxury purchases used to move funds"
